system:index,area_alerta_km2,bound_area_ha,id_gee,ndfi_diff,ndfi_t0,ndfi_t1,sensor,src,status,t0_cloudmask_area_ha,t0_cloudmask_area_perc,t0_period,t1_cloudmask_area_ha,t1_cloudmask_area_perc,t1_period,version,year,.geo
000000000000000017d2_2021_08_3,129885.44791675934,98.51065634482904,000000000000000017d2,0.30209938117436,0.769682765007019,0.47307416796684265,S2,IMAZON,0.0,0.0,0.0,"2020-12-01,2021-06-01",0.0,0.0,"2021-06-01,2021-09-01",3.0,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000017d3_2021_08_3,129840.13188933741,122.24130890907735,000000000000000017d3,0.7428740958372753,0.7778193610055106,0.034844087436795235,S2,IMAZON,0.0,0.0,0.0,"2020-12-01,2021-06-01",0.0,0.0,"2021-06-01,2021-09-01",3.0,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000017d4_2021_08_3,739630.817618834,537.4857560072301,000000000000000017d4,0.37173735218889575,0.7744317005077997,0.4019850260681576,S2,IMAZON,0.0,0.0,0.0,"2020-12-01,2021-06-01",0.0,0.0,"2021-06-01,2021-09-01",3.0,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000017d5_2021_08_3,28323.60873612109,36.64536141333467,000000000000000017d5,0.19891664385795593,0.7753510673840841,0.5790227353572845,S2,IMAZON,0.0,0.0,0.0,"2020-12-01,2021-06-01",0.0,0.0,"2021-06-01,2021-09-01",3.0,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000017d6_2021_08_3,28314.664030650023,41.50337527714068,000000000000000017d6,0.14805251359939575,0.723072866598765,0.5038805405298868,S2,IMAZON,0.0,0.0,0.0,"2020-12-01,2021-06-01",0.0,0.0,"2021-06-01,2021-09-01",3.0,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000017d7_2021_08_3,28295.308953221273,34.25041503270809,000000000000000017d7,0.3212726215521495,0.7695849895477295,0.43636109431584674,S2,IMAZON,0.0,0.0,0.0,"2020-12-01,2021-06-01",0.0,0.0,"2021-06-01,2021-09-01",3.0,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000017d8_2021_08_3,28291.17679834327,25.784611305802407,000000000000000017d8,0.3803223669528961,0.8509300649166107,0.43477652966976166,S2,IMAZON,0.0,0.0,0.0,"2020-12-01,2021-06-01",0.0,0.0,"2021-06-01,2021-09-01",3.0,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000017d9_2021_08_3,28291.567305077555,29.53201167400573,000000000000000017d9,0.5600237250328064,0.7838199734687805,0.22516906261444092,S2,IMAZON,0.0,0.0,0.0,"2020-12-01,2021-06-01",0.0,0.0,"2021-06-01,2021-09-01",3.0,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000017da_2021_08_3,28293.59262926217,32.75428832284936,000000000000000017da,0.3987678289413452,0.7510455250740051,0.35281693935394287,S2,IMAZON,0.0,0.0,0.0,"2020-12-01,2021-06-01",0.0,0.0,"2021-06-01,2021-09-01",3.0,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000017db_2021_08_3,28283.45842039331,26.245224482469787,000000000000000017db,0.5074257254600525,0.7995505332946777,0.30538538098335266,S2,IMAZON,0.0,0.0,0.0,"2020-12-01,2021-06-01",0.0,0.0,"2021-06-01,2021-09-01",3.0,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
